bounded_probe,reclaim,shape,no_lower_acceptance,aggression_failure,buyer_response,participation,spread_ok,day,ts,fwd_len,entry,stop,R,poc_distance_R,stop_distance_abs,h1_fwd,h1_mfe,h1_mae,h1_ratio,h1_win,h1_poc_first,h1_stop_first,h3_fwd,h3_mfe,h3_mae,h3_ratio,h3_win,h3_poc_first,h3_stop_first,h6_fwd,h6_mfe,h6_mae,h6_ratio,h6_win,h6_poc_first,h6_stop_first,h12_fwd,h12_mfe,h12_mae,h12_ratio,h12_win,h12_poc_first,h12_stop_first,h24_fwd,h24_mfe,h24_mae,h24_ratio,h24_win,h24_poc_first,h24_stop_first,group_qualifies,group,n_all
True,True,True,True,True,False,True,True,2024-03-12,1710255600000,107,71576.1,70732.72214285714,843.3778571428702,0.5026216854163679,843.3778571428702,0.4760618228230113,0.487326050262161,0.2366673470372997,2.059118236472886,True,False,False,0.4472491147418144,0.5889412388448028,0.2366673470372997,2.4884769539077283,True,True,False,0.6744307965671813,0.6851021699305863,0.2366673470372997,2.8947895791581737,True,True,False,0.27544000359098375,0.6851021699305863,0.2366673470372997,2.8947895791581737,True,True,False,-1.4256954813509164,0.6851021699305863,1.8545661197446444,0.3694137203503524,False,True,False,False,5,7
True,True,False,True,False,False,True,True,2024-03-12,1710260400000,91,70932.6,70727.1337,205.46630000000005,5.195012515434375,205.46630000000005,-1.2921827083078827,0.12897492192150242,4.480540117771166,0.028785574625244222,False,False,True,-2.314734825127068,0.12897492192150242,4.480540117771166,0.028785574625244222,False,False,True,-1.516063704850868,0.12897492192150242,4.480540117771166,0.028785574625244222,False,False,True,-6.556793011798097,0.12897492192150242,11.352713316003673,0.011360713367058189,False,False,True,-0.2779044544044732,2.1804062272012485,11.352713316003673,0.1920603618280026,False,False,True,False,2,5
True,False,False,False,False,False,True,True,2024-03-12,1710261300000,88,70457.0,70361.87150000001,95.12849999999162,16.22016535528402,95.12849999999162,1.15002338941541,2.018322584714538,1.5158443578949505,1.3314840499306788,True,False,True,1.7250350841232678,4.530713718812322,1.5158443578949505,2.9889042995839716,True,False,True,-6.605801626221895,4.530713718812322,8.893233888898433,0.5094562647754137,False,False,True,-2.901338715527148,4.530713718812322,19.52096374903592,0.23209477652127086,False,False,True,8.990996389095574,9.70897260022062,19.52096374903592,0.4973613354873483,True,False,True,False,1,3
True,False,True,False,False,True,True,True,2024-03-12,1710261900000,86,70738.7,70434.94428571429,303.7557142857113,4.152349867609831,303.7557142857113,-0.38715321052158785,0.09909278602638531,0.862535213917207,0.11488549618322833,False,False,False,-1.2016234850373304,0.09909278602638531,1.770172460012518,0.0559791705412051,False,False,True,-3.7625629617785146,0.09909278602638531,4.07794797511161,0.024299669007835548,False,False,True,-0.274233524119488,0.12608816295050204,7.040855198491329,0.017908074998832447,False,False,True,1.6068833508129532,2.113211274097186,7.040855198491329,0.3001355963903351,True,False,True,False,1,5
True,False,False,False,False,True,True,True,2024-03-12,1710262200000,85,70621.1,70439.73642857143,181.36357142857742,7.602960115631696,181.36357142857742,-0.271829671260183,0.49403526460260816,0.3672181765908458,1.3453453453450968,False,False,False,-4.369675749973271,0.49403526460260816,5.56947567829404,0.08870408870407955,False,False,True,-5.710628611037689,0.49403526460260816,11.143913764379816,0.044332294295181346,False,False,True,0.01213033015763846,1.5201509202115056,11.143913764379816,0.13641086537034106,True,False,True,4.803059363787607,5.215490589147876,11.143913764379816,0.4680124684577663,True,False,True,False,1,4
True,False,False,False,False,True,False,True,2024-03-12,1710262500000,84,70571.8,70517.1392857143,54.66071428571013,26.128454753350514,54.66071428571013,-3.624175106174835,2.3398889251879185,6.7836654688016145,0.3449298813376299,False,False,True,-12.398301208756198,2.3398889251879185,17.57752368507163,0.13311823480432325,False,False,True,-23.279973864751852,2.3398889251879185,36.0734400522733,0.06486459072927983,False,False,True,10.78288141130421,11.990329957531024,36.0734400522733,0.33238665179023896,True,False,True,16.55119242077873,18.35687683763605,36.0734400522733,0.5088751394664737,True,False,True,False,1,3
True,False,False,False,False,True,False,True,2024-03-12,1710265800000,73,70623.3,70418.43285714285,204.86714285715425,6.7199648552716695,204.86714285715425,2.625604050011331,2.9477640561476943,0.40270000767045394,7.319999999999929,True,False,False,1.5073183317410588,3.696542009804072,0.40270000767045394,9.179393939393975,True,False,False,1.231041720418028,3.696542009804072,0.4480952812624102,8.249455337690403,True,False,False,4.241285292907334,4.60639996652856,0.4480952812624102,10.279956427014893,True,False,False,3.719971828432114,5.406430648433834,0.4480952812624102,12.065359477123707,True,False,False,False,1,3
True,True,False,False,False,True,False,True,2024-03-12,1710266100000,72,71161.2,70484.6092857143,676.5907142857031,1.239745066388546,676.5907142857031,0.01714478155712244,0.32427285117507976,0.40068536897701823,0.8092954629288668,True,False,False,-0.5938597611765852,0.32427285117507976,0.64041671109461,0.5063466420494052,False,False,False,-0.378219793143563,0.32427285117507976,0.9306955988374597,0.3484198824837379,False,False,False,0.4660128987032795,0.6118913417797525,0.9306955988374597,0.657455931395906,True,False,False,0.3575278154022402,0.8420156942316985,0.9306955988374597,0.9047165316817528,True,False,False,False,2,4
True,False,False,False,False,False,False,True,2024-03-12,1710267000000,69,70759.4,70670.54428571428,88.85571428571711,13.961960803227969,88.85571428571711,3.269345166320898,3.9310921397449197,2.564832232029307,1.5326897762176912,True,False,True,1.6419878133089416,5.735140436341303,2.564832232029307,2.2360684510751154,True,False,True,5.118410263830478,6.892072219810487,2.564832232029307,2.6871434839843102,True,False,True,9.265583047958708,10.933455521792608,2.564832232029307,4.262834576568779,True,False,True,5.465039630862124,10.933455521792608,2.564832232029307,4.262834576568779,True,False,True,False,1,2
True,True,True,True,False,True,False,True,2024-03-12,1710267300000,68,71049.9,70476.22714285714,573.6728571428539,1.656170390790191,573.6728571428539,-0.30400601637069563,0.3819249896033452,0.34287834529883565,1.113879003558765,False,False,False,0.48930326144071473,0.5611211965007618,0.4356141255220046,1.2881152460985044,True,False,False,0.3083639007797047,0.5611211965007618,0.4356141255220046,1.2881152460985044,True,False,False,0.7891257087787962,1.187087713007171,0.4356141255220046,2.725090036014469,True,False,False,0.33172216121184744,1.187087713007171,0.4356141255220046,2.725090036014469,True,False,False,False,4,6
