count,h1_mean_fwd,h1_win,h1_mean_mfe,h1_mean_mae,h1_mean_ratio,h1_pct_poc_first,h1_pct_stop_first,h3_mean_fwd,h3_win,h3_mean_mfe,h3_mean_mae,h3_mean_ratio,h3_pct_poc_first,h3_pct_stop_first,h6_mean_fwd,h6_win,h6_mean_mfe,h6_mean_mae,h6_mean_ratio,h6_pct_poc_first,h6_pct_stop_first,h12_mean_fwd,h12_win,h12_mean_mfe,h12_mean_mae,h12_mean_ratio,h12_pct_poc_first,h12_pct_stop_first,h24_mean_fwd,h24_win,h24_mean_mfe,h24_mean_mae,h24_mean_ratio,h24_pct_poc_first,h24_pct_stop_first,mean_poc_distance_R,mean_stop_distance_abs,group
155,0.2321522774127214,0.5612903225806452,1.468717479128956,1.3445975711379634,46.76613550567274,0.0,0.3935483870967742,0.17656344770081867,0.5161290322580645,2.5215112332492153,2.440962266781492,52.5294457359114,0.0064516129032258064,0.5935483870967742,0.5235035984727503,0.535483870967742,3.810019560247222,3.648918324748492,57.20539273791452,0.03870967741935484,0.6967741935483871,0.3752230270539904,0.5870967741935483,5.1608019262690625,5.414046188114256,9.285315146184466,0.06451612903225806,0.7225806451612903,-0.016421854928883376,0.5419354838709678,6.828171128435783,8.377169514423402,6.286429617351333,0.07741935483870968,0.7225806451612903,15.446761465164066,129.5141383870963,G1 bounded_probe
40,-0.19209333545842758,0.425,0.6360224051078058,1.0140307517578298,118.76940073905371,0.0,0.25,-0.08222716616488902,0.525,1.105021818631896,1.7130423363787308,252.94018060792334,0.05,0.45,0.10908728717475888,0.525,1.505525049347948,2.2363437605509033,238.2827444297112,0.05,0.575,-0.0758809338265479,0.575,2.205282495338468,2.923683393854136,322.5963767843957,0.05,0.65,-0.3756420458679365,0.6,2.748983158567478,4.036720431145436,412.29717255996684,0.1,0.65,6.390344972263287,269.22096553571447,G2 +reclaim
9,0.16234156791804935,0.5555555555555556,0.6582060951891624,0.36256588429395636,6.335881733170277,0.1111111111111111,0.1111111111111111,0.08884865692641698,0.6666666666666666,1.061987439280673,0.598154005742718,5.396531556253768,0.1111111111111111,0.2222222222222222,-0.04100352156673843,0.6666666666666666,1.2591792473204853,0.9211908642191781,7.068197739618394,0.2222222222222222,0.3333333333333333,-0.144597491443336,0.4444444444444444,1.6408151808065357,1.8599982346165536,4.335654372772267,0.2222222222222222,0.4444444444444444,0.8578515055792005,0.7777777777777778,2.4614761822674303,2.404423202891174,4.126154929255539,0.3333333333333333,0.4444444444444444,5.162898387565432,238.5327634920646,G3 +shape
16,-0.21506736565883372,0.375,0.4185302439198551,0.687387945401615,5.822174257124257,0.0625,0.125,-0.22180164832572086,0.5,0.7076441327137315,1.3619038027896508,9.450854768692043,0.0625,0.3125,-0.4709486085551393,0.5,0.7865148622047906,1.742505217156413,4.3190842921320725,0.0625,0.4375,-0.09433173743888643,0.625,1.2587430775663369,2.001152711792856,3.857211370539017,0.0625,0.4375,0.08547923313817324,0.5625,1.7291971699123603,2.293290094445034,3.831450693344123,0.0625,0.5625,3.327164272331305,378.20767767857205,G4 +no_lower_acceptance
4,0.3582944925775342,0.75,0.808947628348369,0.32931636765227484,2.9905904558757497,0.0,0.0,0.3695699275706861,0.75,0.8521584557943758,0.6767060134865965,1.9170634287924373,0.25,0.25,0.2718197326808437,0.75,1.0443257835102076,0.6767060134865965,2.40826393217122,0.25,0.25,0.9734182365944305,1.0,1.4720472558708646,0.7029925820252091,2.5226406842796947,0.25,0.25,1.1924242754494592,0.75,2.1809587346081276,1.1074672752020454,3.051455921721281,0.25,0.25,5.575893674443758,356.8685642857163,G5 +aggression_failure
1,-0.0343708289567245,0.0,0.5639940569711485,0.14581563799809655,3.8678571428567268,0.0,0.0,1.2722414415333316,1.0,1.4102455274958159,0.1728956850549465,8.156626506020887,0.0,0.0,2.1481768097933864,1.0,2.5335467102169273,0.1728956850549465,14.653614457826187,0.0,0.0,2.9465174278329043,1.0,3.9198368114702444,0.1728956850549465,22.671686746979915,0.0,0.0,1.0795564913215612,1.0,3.9198368114702444,0.1728956850549465,22.671686746979915,0.0,0.0,6.0065627452501325,192.02330000000075,G6 +buyer_response
12,-0.00025765563160803337,0.5833333333333334,0.6286823260159549,0.4744576287732965,8.306376012427036,0.16666666666666666,0.08333333333333333,-0.056312014418895974,0.6666666666666666,0.8277457608144129,1.100809876627863,10.951991418100086,0.25,0.3333333333333333,0.10518488898646618,0.5833333333333334,1.1698431264434037,1.2748116449298206,5.6620325281919515,0.25,0.3333333333333333,0.6932897455976796,0.75,1.83055309193538,1.5116924937629488,4.711185272148824,0.25,0.3333333333333333,0.19412528850665703,0.6666666666666666,2.1953948453831003,1.9986524248755806,5.1260332972504985,0.25,0.3333333333333333,3.9188792671362163,353.93129940476257,G8 near-miss (7/8)
